activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300ZAI389CEN8VG51,99999,WI,55005,55005000100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,32,1,2,2,2,355000.0,55.644,3.625,0.061,2,2837.6,NA,1737.5,,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,219,<20%,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,1,2,,,,,10,,,,3931,5.42,81500,97,1558,2752,39
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,395000.0,90.0,3.0,0.084,2,2265.1,NA,1415.0,,,360,NA,NA,2,2,2,2,445000,1,1,3,5,1,NA,150,20%-<30%,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,4657,11.17,81500,87,1216,1685,62
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,145000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,84,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,<25,45-54,No,No,1,1,6,,,,,10,,,,4923,23.62,81500,85,1265,1806,47
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,1,1,2,2,2,135000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,41,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,<25,9999,No,NA,1,1,2,,,,,10,,,,4215,8.09,86900,109,1104,1187,32
2022,549300ZAI389CEN8VG51,99999,WI,55115,55115100600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Male,3,0,2,1,2,1,2,2,2,25000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,18,NA,3,10,2,,,,,5,,,,,2,4,1,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,4162,44.55,81500,91,1272,2055,42
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,3,2,1,31,1,2,2,2,165000.0,38.929,3.25,0.877,2,1667.85,NA,425.0,,2.3,240,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,65,30%-<36%,1,10,2,,,,,5,,,,,2,4,2,27,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,7302,11.27,86900,111,2407,2861,38
2022,549300ZAI389CEN8VG51,99999,WI,55119,55119960300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,225000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,46,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,2,,,,,4,,,,2873,4.73,81500,94,1013,1574,46
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,31,1,2,2,2,85000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,68,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,2,,,,,3,,,,4923,23.62,81500,85,1265,1806,47
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950200,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,1,4,1,1,2,2,2,45000.0,98.66,4.25,1.111,2,2087.94,NA,425.0,,,360,NA,NA,2,2,2,2,45000,1,1,3,5,1,NA,28,30%-<36%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,4,,,,,10,,,,4657,11.17,81500,87,1216,1685,62
2022,549300ZAI389CEN8VG51,11540,WI,55087,55087012800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,31,1,2,2,2,155000.0,43.292,3.0,0.329,2,1080.35,NA,425.0,,,180,NA,NA,2,2,2,2,375000,1,1,3,5,1,NA,109,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,2,,,,,10,,,,7874,7.1,95900,93,2599,3040,39
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,1,1,1,1,2,2,2,485000.0,90.0,3.25,0.246,2,2868.6,NA,1637.75,,,360,NA,NA,2,2,2,2,535000,1,1,3,5,1,NA,255,20%-<30%,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,5244,12.47,86900,118,1567,1619,21
2022,549300ZAI389CEN8VG51,99999,WI,55119,55119960100,C,Conventional:First Lien,Single Family (1-4 Units):Manufactured,Not Hispanic or Latino,White,Male,1,3,2,1,31,1,2,2,2,115000.0,61.957,3.25,0.191,2,2727.3,NA,1280.0,,,360,NA,NA,2,2,2,2,185000,2,1,1,1,1,NA,64,38,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,2,,,,,10,,,,4190,7.28,81500,94,1437,2254,43
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073000200,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,4,2,2,2,2,45000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,120,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,293,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,2766,21.95,86900,85,776,1326,79
2022,549300ZAI389CEN8VG51,99999,WI,55119,55119960300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,32,1,2,2,2,145000.0,60.417,3.75,0.815,2,1600.1,NA,350.0,,,360,NA,72,2,2,2,2,245000,1,1,3,5,1,NA,132,20%-<30%,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,10,,,,2873,4.73,81500,94,1013,1574,46
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,1,1,2,2,2,415000.0,74.909,3.875,0.165,2,2320.1,NA,1455.0,,,360,NA,NA,2,2,2,2,555000,1,1,3,5,1,NA,115,20%-<30%,9,3,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,6194,7.2,86900,105,2083,2495,38
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001700,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,32,1,2,2,2,165000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,95,NA,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,1,6,,,,,3,,,,3593,6.82,86900,105,1272,1742,45
2022,549300ZAI389CEN8VG51,48140,WI,55069,55069960200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,0,2,1,1,1,2,2,2,125000.0,51.064,3.5,0.637,3,1905.85,NA,350.0,,,360,NA,72,2,2,2,2,235000,1,2,3,5,2,NA,127,20%-<30%,3,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,1,6,,,,,10,,,,2634,7.63,86900,88,621,1103,54
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,31,1,2,2,2,455000.0,72.698,2.375,-0.072,2,1080.35,NA,425.0,,,180,NA,NA,2,2,2,2,635000,1,1,3,5,1,NA,796,<20%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,4923,23.62,81500,85,1265,1806,47
2022,549300ZAI389CEN8VG51,36780,WI,55139,55139003600,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,5,0,2,1,32,1,2,2,2,125000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,43,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,>74,9999,Yes,NA,1,1,2,,,,,10,,,,4191,10.07,85000,141,1285,1406,50
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,32,1,2,2,2,175000.0,58.206,3.75,-0.105,2,2292.55,NA,1070.0,,,360,NA,NA,2,2,2,2,295000,1,1,3,5,1,NA,58,41,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,2,,,,,10,,,,4657,11.17,81500,87,1216,1685,62
2022,549300ZAI389CEN8VG51,33340,WI,55089,55089640102,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,1,1,1,1,2,2,2,205000.0,65.359,3.625,0.081,3,2223.15,NA,925.0,,,360,NA,NA,2,2,2,2,305000,1,2,3,5,1,NA,75,20%-<30%,9,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,Yes,Yes,1,1,2,,,,,10,,,,2909,9.32,96100,99,948,1125,55
2022,549300ZAI389CEN8VG51,99999,WI,55119,55119960300,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,1,1,2,2,2,205000.0,105.263,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,195000,1,1,3,5,1,NA,46,NA,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,25-34,9999,No,NA,1,1,6,,,,,4,,,,2873,4.73,81500,94,1013,1574,46
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073002301,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,32,1,2,2,2,75000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,180,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,132,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,3328,5.26,86900,95,1035,1290,54
2022,549300ZAI389CEN8VG51,99999,WI,55141,55141010200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,0,2,1,1,1,2,2,2,95000.0,90.0,3.75,0.877,2,1723.05,NA,350.0,,,360,NA,72,2,2,2,2,125000,1,1,3,5,1,NA,60,20%-<30%,2,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,1,1,6,,,,,10,,,,4800,7.25,81500,110,1593,2081,26
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073002200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,425000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,122,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,55-64,No,No,1,1,6,,,,,10,,,,3540,19.44,86900,77,1076,1329,47
2022,549300ZAI389CEN8VG51,99999,WI,55115,55115100200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,4,0,2,1,1,1,2,2,2,115000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,2,3,5,1,NA,169,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,1776,9.23,81500,87,690,1747,41
2022,549300ZAI389CEN8VG51,24580,WI,55009,55009021200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,185000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,62,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,<25,9999,No,NA,1,1,6,,,,,10,,,,5102,13.47,90700,108,1641,1890,45
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,4,0,2,1,1,1,2,2,2,115000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,55,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,1,1,2,,,,,10,,,,3673,12.58,86900,112,1171,1541,56
2022,549300ZAI389CEN8VG51,99999,WI,55119,55119960200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,3,0,2,1,32,1,2,2,2,105000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,46,NA,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,45-54,9999,No,NA,1,1,6,,,,,3,,,,1990,4.42,81500,92,858,1615,40
2022,549300ZAI389CEN8VG51,99999,WI,55019,55019950100,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,31,1,2,2,2,125000.0,73.851,3.125,0.03,2,1363.55,NA,746.25,,,360,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,44,46,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,4923,23.62,81500,85,1265,1806,47
2022,549300ZAI389CEN8VG51,43100,WI,55117,55117010502,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,31,1,2,2,2,45000.0,18.367,2.375,-0.138,2,1075.1,NA,425.0,,,120,NA,NA,2,2,2,2,245000,1,1,3,5,1,NA,107,<20%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,45-54,No,No,1,1,2,,,,,10,,,,3798,7.85,84600,101,932,1089,42
2022,549300ZAI389CEN8VG51,99999,WI,55085,55085971002,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,32,1,2,2,2,175000.0,50.0,3.125,0.023,2,2206.35,NA,1081.25,,,360,NA,NA,2,2,2,2,355000,1,1,3,5,1,NA,72,20%-<30%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,55-64,Yes,No,1,1,2,,,,,10,,,,2693,6.8,81500,116,901,2417,29
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001402,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,31,1,2,2,2,345000.0,80.0,3.25,0.102,2,1275.1,NA,425.0,,,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,127,20%-<30%,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,2,,,,,10,,,,3565,12.51,86900,108,781,943,27
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073002200,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,55000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,72,2,2,2,2,NA,1,1,3,5,1,NA,34,NA,1,1,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,65-74,65-74,Yes,Yes,1,1,6,,,,,4,,,,3540,19.44,86900,77,1076,1329,47
2022,549300ZAI389CEN8VG51,48140,WI,55073,55073001500,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,3,2,1,32,1,2,2,2,285000.0,73.94,4.375,0.507,2,2687.4,NA,1569.0,,,360,NA,NA,2,2,2,2,385000,1,1,3,5,1,NA,116,20%-<30%,9,2,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,2,1,2,2,35-44,35-44,No,No,1,1,2,,,,,10,,,,4281,8.27,86900,126,1424,1610,45
